total_patients,avg_waiting_time,median_waiting_time,max_waiting_time,avg_los,median_los,target_compliance,level_1_count,level_1_avg_wait,level_1_median_wait,level_1_max_wait,level_1_target_compliance,level_2_count,level_2_avg_wait,level_2_median_wait,level_2_max_wait,level_2_target_compliance,level_3_count,level_3_avg_wait,level_3_median_wait,level_3_max_wait,level_3_target_compliance,level_4_count,level_4_avg_wait,level_4_median_wait,level_4_max_wait,level_4_target_compliance,level_5_count,level_5_avg_wait,level_5_median_wait,level_5_max_wait,level_5_target_compliance,strategy,seed,replication
55,71.62354107363876,75.16956180307096,120.6076610120399,89.47948166919545,89.34781402552721,70.9090909090909,3,70.9502583606515,79.45846925988195,89.63920529145005,0.0,5,79.23137748882512,97.26881967230244,114.16909930471348,0.0,14,61.56881842240191,56.969889427256476,111.55098524602192,50.0,21,67.61800051902925,60.59928727564164,120.6076610120399,95.23809523809523,12,87.3621356425676,83.87481153770362,116.91139485319547,100.0,FIFO,42,1
55,24.624683515166296,22.648220493145175,77.5215329170619,43.23483121792451,38.46462924238949,81.81818181818183,3,14.581217716815493,3.6376995583845826,36.51585880573174,0.0,9,27.616537028286366,31.794562587575058,64.19988406940541,33.33333333333333,10,19.34930301846135,11.784218173357587,64.80717156118124,90.0,24,27.363428993412786,23.06784606785402,77.5215329170619,100.0,9,23.5388645447336,18.710765221998344,73.02687124639016,100.0,FIFO,43,2
58,70.12678699677284,60.16740646951638,158.05961791786837,90.17211987922022,80.31093981934758,58.620689655172406,2,99.19130308847501,99.19130308847501,127.88142720310884,0.0,11,68.72100944831378,52.9372546787978,132.30479373603038,0.0,16,64.00650302054822,55.97716891890194,154.07071499907852,56.25,24,70.32295179705619,59.73129652859188,158.05961791786837,83.33333333333334,5,80.23700884926055,61.003358794385576,155.0819253234091,100.0,FIFO,44,3
50,89.06458770572614,84.49543303206703,171.69346421556537,109.10957994209004,98.3115238294341,54.0,3,117.5624141139006,105.5423945513864,157.08386730198066,0.0,8,100.69134208339955,94.88093077445994,171.69346421556537,0.0,11,79.01534386591548,79.15068495058503,118.7937385045654,9.090909090909092,18,82.73348536364344,74.81970010863884,161.78813527397523,88.88888888888889,10,93.66398872067552,88.30948301867377,144.16889802877427,100.0,FIFO,45,4
48,94.92452643533527,83.2436455347858,166.65242183249063,116.64962007247023,113.9915241801887,45.83333333333333,4,73.47505018591826,57.8821029649267,141.84327393393517,0.0,5,91.2574942724463,76.25663729968406,144.58809731978988,0.0,17,99.5314404685263,87.98361372852838,166.65242183249063,17.647058823529413,15,88.91380419683335,79.0783365477993,159.00470853231656,80.0,7,111.49257798182018,130.82799615547611,138.7666542184386,100.0,FIFO,46,5
57,68.48226721957904,55.87172340920776,154.03173850079332,88.45083903674745,71.7154778259015,56.14035087719298,4,49.38237268757069,39.59571200611737,107.45790246774573,0.0,10,69.32906236961767,62.63875293905815,138.46991054457447,10.0,16,66.50643795358835,48.74953621948636,151.67866327012655,62.5,18,82.89883512363167,83.07484006116978,154.03173850079332,66.66666666666666,9,50.70967528741805,48.578601890924375,133.35707947478284,100.0,FIFO,47,6
53,67.96794679413976,72.67915147398662,115.0442664881208,87.43936808318396,89.2442235378293,58.490566037735846,0,0.0,0.0,0.0,0.0,10,64.90561259294583,65.748974206276,91.32911753475489,0.0,20,66.2468377143678,73.84713743440116,114.6495110882567,40.0,15,73.46962930863432,78.58271728746669,115.0442664881208,100.0,8,65.7829825303848,62.89400645689402,110.48535086090754,100.0,FIFO,48,7
55,103.67533480476733,109.92199918539615,170.65035549702458,124.28868355888343,125.78149699963897,41.81818181818181,5,104.00371368756475,103.15013424911812,132.8619953621992,0.0,10,98.51874459266719,104.16025714005079,158.6258333164683,0.0,15,93.6774507749779,97.20091956881626,144.10825093626755,26.666666666666668,18,105.77583419093864,111.28218279780158,170.65035549702458,66.66666666666666,7,126.83008897659192,146.45978869519047,167.9612037602859,100.0,FIFO,49,8
49,99.67941604252512,115.43413726804599,183.6416274832464,121.14242997092583,128.51500613182702,36.734693877551024,2,101.3141548267547,101.3141548267547,139.37978189544492,0.0,11,96.51344639477752,113.93134083184736,144.73626735153246,0.0,14,92.77647127258523,100.80178402075238,137.72270999947662,28.57142857142857,14,102.25995895151355,119.26614364425224,174.23575884330955,50.0,8,111.18814286878575,120.27651050900172,183.6416274832464,87.5,FIFO,50,9
51,127.5980289934749,131.55310418647187,183.86456654002603,147.64751785406548,151.8706946292569,31.372549019607842,1,131.36407826917724,131.36407826917724,131.36407826917724,0.0,11,111.05219209912329,98.13779436010857,175.5253632774951,0.0,12,121.60394142119695,121.81898354570282,166.49595145119355,0.0,17,134.16720246545614,163.6123278958208,183.86456654002603,35.294117647058826,10,141.4471548340569,149.46795176938497,173.31933194106614,100.0,FIFO,51,10
